state,year,own_proxy
Maine,2013,0.4511343563459635
Maryland,2013,0.25725282750830425
Massachusetts,2013,0.08576005344975698
Michigan,2013,0.3610560763378512
Minnesota,2013,0.38242414623486404
Mississippi,2013,0.48261681165018466
Missouri,2013,0.40199486820280517
Montana,2013,0.5804303965585037
Nebraska,2013,0.37379140888065004
Nevada,2013,0.31513673103021766
New Hampshire,2013,0.2739445621821567
New Jersey,2013,0.12355247732874025
New Mexico,2013,0.3264381861273465
New York,2013,0.1577969628419638
North Carolina,2013,0.3853308095006159
North Dakota,2013,0.5575202625664409
Ohio,2013,0.3183075421808335
Oklahoma,2013,0.4686455076683304
Oregon,2013,0.372076659835429
Pennsylvania,2013,0.35442485973540305
Rhode Island,2013,0.12355687294246712
South Carolina,2013,0.41341352327609376
South Dakota,2013,0.5875528662399965
Tennessee,2013,0.4509684920102493
Texas,2013,0.3604008154703404
Utah,2013,0.3581734556990416
Vermont,2013,0.41653644507237175
Virginia,2013,0.34228500220266894
Washington,2013,0.2761396537925949
West Virginia,2013,0.5139945700206141
Wisconsin,2013,0.40698482038396255
Wyoming,2013,0.6525433888715737
Alabama,2014,0.48410208646001457
Alaska,2014,0.544818763524735
Arizona,2014,0.327542516627335
Arkansas,2014,0.48549241521134184
California,2014,0.19597306369412074
Colorado,2014,0.32098908833439493
Connecticut,2014,0.17195207857464603
Delaware,2014,0.2649172262994191
Florida,2014,0.27878439829652985
Georgia,2014,0.3980024423447869
Hawaii,2014,0.0610113035662145
Idaho,2014,0.48245455921760405
Illinois,2014,0.2147680178626365
Indiana,2014,0.35411242485297345
Iowa,2014,0.3290296500178049
Kansas,2014,0.37341194469457056
Kentucky,2014,0.4357577873359616
Louisiana,2014,0.4453722320820915
Maine,2014,0.4198833317182511
Maryland,2014,0.260188805270894
Massachusetts,2014,0.1000643174275547
Michigan,2014,0.34442396894059
Minnesota,2014,0.3495590142654684
Mississippi,2014,0.44580455402387636
Missouri,2014,0.40101112499091873
Montana,2014,0.5578962435371511
Nebraska,2014,0.3904047029607128
Nevada,2014,0.3147534257701213
New Hampshire,2014,0.2760226211305527
New Jersey,2014,0.11739730866136985
New Mexico,2014,0.342806344608217
New York,2014,0.1593314378039883
North Carolina,2014,0.36140237019892757
North Dakota,2014,0.5597124487683149
Ohio,2014,0.3020554100907754
Oklahoma,2014,0.4361677800891373
Oregon,2014,0.35899820489640993
Pennsylvania,2014,0.3416551931453048
Rhode Island,2014,0.07349329699172243
South Carolina,2014,0.39549261037691585
South Dakota,2014,0.6097620625833775
Tennessee,2014,0.43890925565684014
Texas,2014,0.3388352507903169
Utah,2014,0.34700347683996263
Vermont,2014,0.3751912625170019
Virginia,2014,0.33865661212177167
Washington,2014,0.28823100578993227
West Virginia,2014,0.45278267141913026
